organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,1000.0,219,0.041666666666666664,6.59375,1.8683333333333334
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,1000.0,331,0.0625,6.294270833333333,1.7884722222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,1000.0,443,0.125,5.760416666666667,1.6884722222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,3000.0,42,0.4791666666666667,3.2135416666666665,0.8808333333333334
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,3000.0,137,0.5,2.8984375,0.8331944444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,3000.0,219,0.4375,3.4609375,0.9554166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,10000.0,219,0.7291666666666666,1.9140625,0.5669444444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,10000.0,331,0.7291666666666666,2.2135416666666665,0.60875
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,10000.0,443,0.875,1.4192708333333333,0.4872222222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30000.0,42,0.8541666666666666,1.6276041666666667,0.4761111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30000.0,137,0.9166666666666666,1.5130208333333333,0.46152777777777776
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30000.0,219,0.7708333333333334,1.7109375,0.5052777777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30000.0,331,0.75,2.0026041666666665,0.5456944444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,30000.0,443,0.9166666666666666,1.1875,0.4265277777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,3000.0,331,0.375,3.3880208333333335,0.9194444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,3000.0,443,0.7291666666666666,2.609375,0.7826388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,10000.0,42,0.8125,1.9401041666666667,0.5493055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,10000.0,137,0.8958333333333334,1.7630208333333333,0.53
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,3000.0,42,0.0,20.986979166666668,6.518611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,3000.0,137,0.0,19.677083333333332,6.2098611111111115
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,3000.0,219,0.0,21.1171875,6.628611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,3000.0,331,0.0,20.541666666666668,6.42125
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,3000.0,443,0.0,21.4296875,6.6738888888888885
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,10000.0,42,0.0,19.377604166666668,6.0008333333333335
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,10000.0,137,0.0,18.471354166666668,5.805
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,10000.0,219,0.0,19.861979166666668,6.223055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,30.0,42,0.0,23.341145833333332,7.324722222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,30.0,137,0.0,22.841145833333332,7.234861111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,30.0,219,0.0,23.359375,7.359583333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,30.0,331,0.0,23.315104166666668,7.328194444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,30.0,443,0.0,24.140625,7.568611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,100.0,42,0.0,23.408854166666668,7.336111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,100.0,137,0.0,22.661458333333332,7.169305555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,100.0,219,0.0,23.307291666666668,7.336805555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,100.0,331,0.0,23.223958333333332,7.300416666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,100.0,443,0.0,23.955729166666668,7.5065277777777775
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,300.0,42,0.0,23.255208333333332,7.273333333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,300.0,137,0.0,22.354166666666668,7.06875
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,300.0,219,0.0,23.122395833333332,7.282916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,300.0,331,0.0,22.690104166666668,7.126666666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,trans_12_dichloroethylene,300.0,443,0.0,23.567708333333332,7.38625
